                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6665,                 3.9825,                  2.248,                0.02937,                      1,                0.04006,                0.01637,                 2.6874,                  47.73,                 4.4919,             0.00066026,             0.00066026,             0.00066026
                      1,                 1.4121,                 2.8257,                 1.9906,                0.00341,                      1,                 0.0046,                0.00137,                 3.0028,                 24.789,                 4.9708,              0.0011956,              0.0011956,              0.0011956
                      2,                 1.4921,                 2.4602,                 2.0394,                0.00312,                   0.75,                0.00583,                0.00156,                 2.5231,                 20.637,                 3.7645,              0.0015989,              0.0015989,              0.0015989
                      3,                 1.4773,                 2.2227,                 2.0051,                0.00655,                      1,                0.00966,                0.00259,                 2.8971,                 19.367,                 4.2154,               0.001406,               0.001406,               0.001406
                      4,                 1.4834,                  2.154,                 2.0208,                0.00234,                    0.5,                0.00328,                0.00153,                 2.6942,                 26.567,                 4.1943,               0.001406,               0.001406,               0.001406
                      5,                 1.4449,                 2.0988,                 1.9765,                0.00253,                   0.25,                0.00585,                0.00225,                 2.5838,                 23.801,                 4.1092,               0.001208,               0.001208,               0.001208
                      6,                 1.4287,                 2.0582,                 1.9561,                0.01224,                      1,                0.01407,                0.00436,                 2.8555,                  23.87,                 4.5702,                0.00101,                0.00101,                0.00101
                      7,                 1.3948,                 2.0097,                 1.9242,                0.01712,                   0.75,                0.05541,                0.01304,                 2.5168,                 22.178,                  4.084,               0.000812,               0.000812,               0.000812
                      8,                  1.389,                 1.9923,                 1.9088,                  0.019,                      1,                0.02802,                0.00962,                 2.5453,                 19.282,                 4.2058,               0.000614,               0.000614,               0.000614
                      9,                 1.3335,                 1.9325,                 1.8701,                0.01431,                      1,                0.02031,                0.00733,                 2.5645,                 20.762,                 4.0913,               0.000416,               0.000416,               0.000416
